"object_name";"r_start_date";"r_act_seqno";"r_object_id";"r_workflow_id";"r_runtime_state";"r_act_def_id";"workflow_name";"r_creation_date";"supervisor_name";"r_exec_time_out";"r_exec_os_error";"r_exec_launch"
"Create Contract Folder";06-2-2024 07:47:42;1;"4a001b5a800f2517";"4d001b5a8006e919";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-06";07-2-2024 08:27:33;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";06-2-2024 07:47:42;1;"4a001b5a800f29ac";"4d001b5a8006e918";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-06";08-2-2024 16:25:29;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";06-2-2024 07:47:41;1;"4a001b5a800f29ad";"4d001b5a8006e916";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-06";08-2-2024 16:26:38;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";06-2-2024 07:47:41;1;"4a001b5a800f29ae";"4d001b5a8006e917";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-06";08-2-2024 16:26:38;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";06-2-2024 07:47:40;1;"4a001b5a800f29af";"4d001b5a8006e915";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-06";08-2-2024 16:26:38;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";06-2-2024 02:36:31;1;"4a001b5a800f29b1";"4d001b5a8006e914";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-06";08-2-2024 16:26:38;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";02-2-2024 14:23:14;1;"4a001b5a800f29b2";"4d001b5a8006dd0e";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-02";08-2-2024 16:26:38;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";02-2-2024 14:23:13;1;"4a001b5a800f29b0";"4d001b5a8006dd0d";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-02";08-2-2024 16:26:38;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";02-2-2024 14:23:13;1;"4a001b5a800f29b4";"4d001b5a8006dd0c";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-02";08-2-2024 16:26:39;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";02-2-2024 14:23:13;1;"4a001b5a800f29b3";"4d001b5a8006dd0b";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-02";08-2-2024 16:26:39;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
